rt_score,Genre_1,Genre_2,Genre_3,imdb_rating,length,rating,studio,title,year
5.7,Thriller,Adventure,Action,7.6,131,R,20th Century Fox / Cinergi Pictures,Die Hard with a Vengeance,1995
6.9,Thriller,Adventure,Action,7.2,130,PG-13,United Artists,GoldenEye,1995
5.6,Fantasy,Family,Adventure,6.8,104,PG,TriStar Pictures,Jumanji,1995
6,Drama,Animation,Adventure,6.6,81,G,Walt Disney Pictures,Pocahontas,1995
7.6,Mystery,Drama,Thriller,8.7,127,R,New Line Cinema,Seven,1995
9,Comedy,Animation,Adventure,8.3,81,G,Walt Disney Pictures / Pixar,Toy Story,1995
5.2,Sci-Fi,Adventure,Action,6.1,135,PG-13,Universal Pictures,Waterworld,1995
6.9,Drama,Crime,Action,6.9,141,PG-13,Paramount Pictures,Clear and Present Danger,1994
5.9,Comedy,,,7.3,107,PG-13,New Line Cinema,Dumb and Dumber,1994
7.2,Romance,Drama,,8.8,142,PG-13,Paramount Pictures,Forrest Gump,1994
7.6,Romance,Drama,Comedy,7.1,117,R,Gramercy Pictures / PolyGram,Four Weddings and a Funeral,1994
5.9,Romance,Horror,,7.6,123,R,Warner Bros. / Geffen Pictures,Interview with the Vampire: The Vampire Chronicles,1994
7.9,Thriller,Crime,Action,7.2,116,R,20th Century Fox,Speed,1994
3.7,Fantasy,Family,Comedy,4.8,91,PG,Universal Pictures / Amblin Entertainment,The Flintstones,1994
8.2,Drama,Animation,Adventure,8.5,89,G,Walt Disney Pictures,The Lion King,1994
6.4,Fantasy,Crime,Comedy,6.8,101,PG-13,New Line Cinema,The Mask,1994
6.6,Thriller,Comedy,Action,7.2,141,R,20th Century Fox,True Lies,1994
6.2,Thriller,Adventure,Action,6.3,112,R,TriStar Pictures / Carolco Pictures,Cliffhanger,1993
4.6,Romance,Drama,,5.8,117,R,Paramount Pictures,Indecent Proposal,1993
8.3,Thriller,Sci-Fi,Adventure,8,127,PG-13,Universal Pictures / Amblin Entertainment,Jurassic Park,1993
5.8,Family,Drama,Comedy,6.9,125,PG-13,20th Century Fox,Mrs. Doubtfire,1993
6.6,Drama,,,7.7,125,PG-13,TriStar Pictures,Philadelphia,1993
9,History,Drama,Biography,8.9,195,R,Universal Pictures / Amblin Entertainment,Schindler's List,1993
6.5,Romance,Drama,Comedy,6.8,105,PG,TriStar Pictures,Sleepless in Seattle,1993
6.2,Thriller,Mystery,Drama,6.8,154,R,Paramount Pictures,The Firm,1993
7.9,Crime,Adventure,Action,7.8,130,PG-13,Warner Bros.,The Fugitive,1993
5.5,Drama,Crime,Action,6.5,141,PG-13,Warner Bros.,The Pelican Brief,1993
7,Thriller,Drama,,7.6,138,R,Columbia Pictures / Castle Rock Entertainment,A Few Good Men,1992
8.1,Comedy,Animation,Adventure,8,90,G,Walt Disney Pictures,Aladdin,1992
5.9,Thriller,Mystery,Drama,6.9,127,R,TriStar Pictures / Carolco Pictures,Basic Instinct,1992
6.7,Action,,,7,126,PG-13,Warner Bros. / PolyGram,Batman Returns,1992
6.5,Romance,Horror,,7.5,128,R,Columbia Pictures,Bram Stoker's Dracula,1992
3.6,Family,Comedy,Adventure,6.5,120,PG,20th Century Fox,Home Alone 2: Lost in New York,1992
5.5,Thriller,Crime,Action,6.7,118,R,Warner Bros.,Lethal Weapon 3,1992
5.7,Music,Comedy,,6.2,100,PG,Touchstone Pictures,Sister Act,1992
4.8,Music,Drama,Action,6.1,129,R,Warner Bros.,The Bodyguard,1992
6.8,Music,Comedy,,7,94,PG-13,Paramount Pictures,Wayne's World,1992
8.4,Fantasy,Family,Animation,8,84,G,Walt Disney Pictures,Beauty and the Beast,1991
7.1,Thriller,Crime,,7.3,128,R,Universal Pictures,Cape Fear,1991
7,Western,Comedy,,6.7,113,PG-13,Columbia Pictures / Castle Rock Entertainment / Nelson Entertainment,City Slickers,1991
4.4,Family,Comedy,Adventure,6.7,142,PG,TriStar Pictures / Amblin Entertainment,Hook,1991
6.5,Comedy,,,6.7,84,PG-13,20th Century Fox,Hot Shots!,1991
7.7,Thriller,History,Drama,8,189,R,Warner Bros.,JFK,1991
5.7,Drama,Adventure,Action,6.9,143,PG-13,Warner Bros.,Robin Hood: Prince of Thieves,1991
8.3,Sci-Fi,Action,,8.5,137,R,TriStar Pictures / Carolco Pictures / Lightstorm Entertainment,Terminator 2: Judgment Day,1991
5.6,Fantasy,Comedy,,6.8,99,PG-13,Paramount Pictures / Orion Pictures,The Addams Family,1991
8.5,Thriller,,,8.6,118,R,Orion Pictures,The Silence of the Lambs,1991
6.5,Romance,Comedy,Adventure,7.4,118,PG,Universal Pictures,Back to the Future Part III,1990
7.5,Western,Drama,Adventure,8,181,PG-13,Orion Pictures,Dances with Wolves,1990
6.1,Thriller,Action,,7.1,124,R,20th Century Fox / Silver Pictures,Die Hard 2,1990
6.8,Romance,Fantasy,Drama,7,127,PG-13,Paramount Pictures,Ghost,1990
5.1,Family,Comedy,,7.4,103,PG,20th Century Fox,Home Alone,1990
5.1,Crime,Comedy,Action,6,111,PG-13,Universal Pictures,Kindergarten Cop,1990
7.4,Mystery,Drama,Crime,6.9,127,R,Warner Bros.,Presumed Innocent,1990
5.7,Romance,Comedy,,6.9,119,R,Touchstone Pictures,Pretty Woman,1990
4.8,Comedy,Adventure,Action,6.7,93,PG,New Line Cinema,Teenage Mutant Ninja Turtles,1990
7.3,Action,Sci-Fi,Mystery,7.5,113,R,TriStar Pictures / Carolco Pictures,Total Recall,1990
6.1,Sci-Fi,Comedy,Adventure,7.8,108,PG,Universal Pictures,Back to the Future Part II,1989
6.6,Adventure,Action,,7.6,126,PG-13,Warner Bros. / PolyGram,Batman,1989
7.4,War,Drama,Biography,7.2,145,R,Universal Pictures,Born on the Fourth of July,1989
7.2,Drama,,,8,128,PG,Touchstone Pictures,Dead Poets Society,1989
5.2,Horror,Fantasy,Comedy,6.5,108,PG,Columbia Pictures,Ghostbusters II,1989
6.2,Family,Comedy,Adventure,6.2,93,PG,Walt Disney Pictures,"Honey, I Shrunk the Kids",1989
7.9,Adventure,Action,,8.3,127,PG-13,Paramount Pictures / Lucasfilm,Indiana Jones and the Last Crusade,1989
6.6,Thriller,Crime,Action,7.2,114,R,Warner Bros.,Lethal Weapon 2,1989
5,Romance,Comedy,,5.8,93,PG-13,TriStar Pictures,Look Who's Talking,1989
8.1,Fantasy,Family,Animation,7.6,83,G,Walt Disney Pictures,The Little Mermaid,1989
3.5,Comedy,Adventure,Action,5.5,108,PG,Paramount Pictures,"""Crocodile"" Dundee II",1988
7,Comedy,,,7.4,92,PG,Warner Bros. / Geffen Pictures,Beetlejuice,1988
7.9,Fantasy,Drama,Comedy,7.3,104,PG,20th Century Fox / Gracie Films,Big,1988
3.8,Romance,Drama,Comedy,5.8,104,R,Touchstone Pictures,Cocktail,1988
5.8,Romance,Comedy,,6.9,116,R,Paramount Pictures,Coming to America,1988
8.4,Thriller,Action,,8.3,131,R,20th Century Fox / Silver Pictures,Die Hard,1988
7.9,Drama,,,8,133,R,United Artists,Rain Man,1988
7.3,Crime,Comedy,,7.6,85,PG-13,Paramount Pictures,The Naked Gun: From the Files of Police Squad!,1988
4.8,Comedy,,,5.9,107,PG,Universal Pictures,Twins,1988
8.4,Crime,Comedy,Animation,7.7,104,PG,Touchstone Pictures / Amblin Entertainment,Who Framed Roger Rabbit,1988
4.9,Crime,Comedy,Action,6.4,100,R,Paramount,Beverly Hills Cop II,1987
6.7,Thriller,Drama,,6.9,119,R,Paramount Pictures,Fatal Attraction,1987
7.4,War,Drama,Comedy,7.3,121,R,Touchstone,"Good Morning, Vietnam",1987
7.1,Thriller,Crime,Action,7.6,110,R,Warner Bros.,Lethal Weapon,1987
7.8,Romance,Drama,Comedy,7.1,102,PG,Metro-Goldwyn-Mayer,Moonstruck,1987
6.5,Thriller,Comedy,,6.6,117,R,Touchstone,Stakeout,1987
5.4,Comedy,,,6.4,111,PG-13,Universal Pictures,The Secret of My Success,1987
7.4,Thriller,Drama,Crime,8,119,R,Paramount,The Untouchables,1987
6.2,Horror,Fantasy,Comedy,6.5,118,R,Warner Bros.,The Witches of Eastwick,1987
5.9,Family,Drama,Comedy,5.8,102,PG,Touchstone Pictures,Three Men and a Baby,1987
6.7,Adventure,Comedy,Crime,6.5,97,PG-13,Paramount Pictures / 20th Century Fox,"""Crocodile"" Dundee",1986
9,Sci-Fi,Adventure,Action,8.4,137,R,20th Century Fox,Aliens,1986
6.3,Drama,Comedy,Animation,6.9,80,G,Universal Studios,An American Tail,1986
7,Sport,Romance,Comedy,6.5,96,PG-13,Orion Pictures,Back to School,1986
8.1,War,Drama,,8.1,120,R,Orion Pictures,Platoon,1986
7,Crime,Comedy,,6.8,93,R,Buena Vista Pictures Distribution,Ruthless People,1986
6.9,Comedy,Adventure,Action,7.3,119,PG,Paramount Pictures,Star Trek IV: The Voyage Home,1986
3.9,Comedy,Adventure,Action,5.8,94,PG-13,Paramount Pictures,The Golden Child,1986
4.9,Romance,Family,Action,5.8,113,PG,Columbia Pictures,"The Karate Kid, Part II",1986
5.8,Romance,Drama,Action,6.8,110,PG,Paramount Pictures,Top Gun,1986
8.6,Romance,Comedy,Adventure,8.5,116,PG,Universal Pictures / Amblin Entertainment,Back to the Future,1985
6.2,Sci-Fi,,,6.6,117,PG-13,20th Century Fox,Cocoon,1985
6.5,Romance,Drama,Biography,7.2,161,PG,Universal Pictures,Out Of Africa,1985
4.1,Thriller,Adventure,Action,6.4,96,R,TriStar Pictures / Carolco,Rambo: First Blood Part II,1985
4.8,Sport,Drama,,6.7,91,PG,United Artists,Rocky IV,1985
4.4,Comedy,Adventure,,6.3,102,PG,Warner Bros.,Spies Like Us,1985
6.9,Drama,,,7.8,154,PG-13,Warner Bros.,The Color Purple,1985
6.1,Family,Comedy,Adventure,7.8,114,PG,Warner Bros.,The Goonies,1985
4.8,Comedy,Adventure,Action,6,106,PG,20th Century Fox,The Jewel of the Nile,1985
8.1,Romance,Drama,Crime,7.5,112,R,Paramount Pictures,Witness,1985
7.1,Comedy,Action,,7.3,105,R,Paramount Pictures,Beverly Hills Cop,1984
5.7,Romance,Music,Drama,6.4,107,R,Paramount Pictures,Footloose,1984
8.2,Fantasy,Comedy,,7.8,105,PG,Columbia Pictures,Ghostbusters,1984
7.3,Horror,Comedy,,7.2,106,PG,Warner Bros.,Gremlins,1984
7.2,Action,Adventure,Drama,7.6,118,PG,Paramount Pictures / Lucasfilm,Indiana Jones and the Temple of Doom,1984
4.5,Comedy,,,6.6,96,R,Warner Bros. / The Ladd Company,Police Academy,1984
7.3,Comedy,Adventure,Action,6.9,106,PG,20th Century Fox,Romancing the Stone,1984
6.4,Sci-Fi,Adventure,Action,6.6,105,PG,Paramount Pictures,Star Trek III: The Search for Spock,1984
6.9,Family,Drama,Action,7.2,126,PG,Columbia Pictures,The Karate Kid,1984
8.7,Sci-Fi,Action,,8.1,107,R,Orion Pictures,The Terminator,1984
4.7,Romance,Music,Drama,6.1,95,R,Paramount Pictures / PolyGram,Flashdance,1983
6.1,Drama,Comedy,Western,6.4,91,PG,20th Century Fox,Mr. Mom,1983
5.2,Thriller,Adventure,Action,6.6,131,PG,United Artists,Octopussy,1983
7.5,Drama,Crime,Comedy,6.8,99,R,Warner Bros.,Risky Business,1983
6.8,Fantasy,Adventure,Action,8.4,134,PG,Lucasfilm / 20th Century Fox,Star Wars Episode VI: Return of the Jedi,1983
2.7,Romance,Music,Drama,4.4,93,PG,Paramount Pictures,Staying Alive,1983
5.6,Thriller,Action,,6.6,117,R,Warner Bros.,Sudden Impact,1983
7.5,Drama,Comedy,,7.4,132,R,Paramount Pictures,Terms of Endearment,1983
7.2,Comedy,,,7.5,116,R,Paramount Pictures,Trading Places,1983
7.6,Thriller,Sci-Fi,,7.1,114,PG,United Artists,WarGames,1983
7.3,Crime,Comedy,Action,6.9,96,R,Paramount Pictures,48 Hrs.,1982
7.4,Romance,Drama,,7,124,R,Paramount Pictures / Lorimar,An Officer and a Gentleman,1982
5,Family,Drama,Comedy,6.5,127,PG,Columbia Pictures / Rastar,Annie,1982
9.1,Sci-Fi,Family,Western,7.9,115,PG,Universal Pictures,E.T. the Extra-Terrestrial,1982
7.2,Horror,,,7.4,114,PG,Metro-Goldwyn-Mayer,Poltergeist,1982
4.6,Comedy,,,6.1,94,R,20th Century Fox,Porky's,1982
5.4,Sport,Drama,,6.7,99,PG,United Artists,Rocky III,1982
7.9,Drama,Adventure,Action,7.7,113,PG,Paramount Pictures,Star Trek II: The Wrath of Khan,1982
5.1,Musical,Comedy,,5.7,114,R,Universal Pictures / RKO Pictures,The Best Little Whorehouse in Texas,1982
7.7,Romance,Comedy,,7.4,116,PG,Columbia Pictures,Tootsie,1982
7.2,Romance,Comedy,,6.9,97,PG,Orion Pictures / Warner Bros.,Arthur,1981
7.7,Sport,History,Drama,7.2,119,PG,Warner Bros. / Ladd,Chariots of Fire,1981
6.3,Thriller,Adventure,Action,6.8,127,PG,United Artists,For Your Eyes Only,1981
7.6,Drama,,,7.7,109,PG,Universal Pictures / ITC,On Golden Pond,1981
9.1,Adventure,Action,,8.6,115,PG,Paramount Pictures / Lucasfilm,Raiders of the Lost Ark,1981
6.6,War,Comedy,,6.9,106,R,Columbia Pictures,Stripes,1981
7.5,Sci-Fi,Romance,Action,6.8,127,PG,Warner Bros.,Superman II,1981
4.2,Comedy,Action,,6.1,95,PG,20th Century Fox / Golden Harvest,The Cannonball Run,1981
6.1,Drama,Comedy,,7.2,107,PG,Universal Pictures,The Four Seasons,1981
7.9,Fantasy,Comedy,Adventure,7,110,PG,Embassy Pictures,Time Bandits,1981
6.8,Comedy,,,6.6,110,PG,20th Century-Fox,9 to 5,1980
8.3,Comedy,,,7.8,88,PG,Paramount Pictures,Airplane!,1980
4.9,Comedy,Action,,6,116,PG,Warner Bros. Pictures,Any Which Way You Can,1980
8.3,Music,Drama,Biography,7.5,124,PG,Universal Studios,Coal Miner's Daughter,1980
6.8,War,Comedy,,6,109,R,Warner Bros.,Private Benjamin,1980
4,Crime,Comedy,Action,5.1,100,PG,Universal Studios,Smokey and the Bandit II,1980
8.7,Adventure,Action,Fantasy,8.8,124,PG,20th Century Fox,Star Wars Episode V: The Empire Strikes Back,1980
6.1,Crime,Comedy,,6.8,111,R,Columbia Pictures,Stir Crazy,1980
2.7,Romance,Drama,Adventure,5.7,104,R,Columbia Pictures,The Blue Lagoon,1980
7.1,Crime,Comedy,Action,8,133,R,Universal Studios,The Blues Brothers,1980
6.4,Romance,Comedy,,6,122,R,Warner Bros. Pictures,10,1979
8.9,Sci-Fi,Horror,,8.5,117,R,20th Century Fox Film Corporation,Alien,1979
8.9,War,Drama,,8.5,153,R,United Artists Pictures,Apocalypse Now,1979
7.8,Drama,,,7.8,105,PG-13,Columbia Pictures,Kramer vs. Kramer,1979
5.7,Crime,Adventure,Action,6.2,126,PG,United Artists Pictures,Moonraker,1979
6.4,Sport,Drama,Action,7.1,119,PG,United Artists Pictures,Rocky II,1979
5.7,Sci-Fi,Mystery,Adventure,6.4,132,PG,Paramount Pictures,Star Trek: The Motion Picture,1979
4.4,Horror,Drama,,6.2,117,R,American International Pictures,The Amityville Horror,1979
6.6,Comedy,,,7.2,94,R,Universal Studios,The Jerk,1979
7.8,Family,Comedy,Adventure,7.7,95,G,Associated Film Distribution,The Muppet Movie,1979
8.6,Horror,Drama,,8,127,R,United Film Distribution Company,Dawn of the Dead,1978
4.5,Comedy,Action,,6.2,114,PG,Warner Bros.,Every Which Way but Loose,1978
6.6,Romance,Musical,,7.2,110,PG-13,Paramount Pictures,Grease,1978
7.1,Sport,Romance,Comedy,6.9,101,PG,Paramount Pictures,Heaven Can Wait,1978
5.3,Comedy,Action,,6.2,99,PG,Warner Bros.,Hooper,1978
5.3,Thriller,Horror,,5.7,116,PG,Universal Pictures,Jaws 2,1978
7.7,Comedy,,,7.6,109,R,Universal Pictures,National Lampoon's Animal House,1978
6.6,Mystery,Comedy,Crime,6.7,99,PG,United Artists,Revenge of the Pink Panther,1978
8,Sci-Fi,Drama,Action,7.3,143,PG,Warner Bros.,Superman,1978
8.6,War,Drama,,8.2,182,R,Universal Pictures,The Deer Hunter,1978
6.8,War,History,Drama,7.4,175,PG,United Artists,A Bridge Too Far,1977
8.9,Romance,Drama,Comedy,8.1,93,PG,United Artists,Annie Hall,1977
8.8,Sci-Fi,Drama,,7.7,137,PG,Columbia Pictures,Close Encounters of the Third Kind,1977
6.1,Fantasy,Comedy,,6.5,98,PG,Warner Bros.,"Oh, God!",1977
7.5,Romance,Music,Drama,6.8,118,R,Paramount Pictures,Saturday Night Fever,1977
6.3,Romance,Comedy,Action,6.8,96,PG,Universal Pictures,Smokey and the Bandit,1977
8.3,Fantasy,Adventure,Action,8.7,121,PG,Lucasfilm / 20th Century Fox,Star Wars,1977
4.7,Thriller,Mystery,Adventure,6.1,123,PG,Columbia Pictures,The Deep,1977
6.5,Romance,Drama,Comedy,7.4,111,PG,Metro-Goldwyn-Mayer / Warner Bros. / Rastar,The Goodbye Girl,1977
6.8,Thriller,Adventure,Action,7.1,125,PG,United Artists,The Spy Who Loved Me,1977
5.3,Romance,Music,Drama,6.5,139,R,Warner Bros. Pictures,A Star Is Born,1976
9.1,Thriller,Drama,,8,138,R,Warner Bros. Pictures,All the President's Men,1976
0,Family,Documentary,,4.6,99,G,Sunn Classic Pictures,In Search of Noah's Ark,1976
4.7,Horror,Fantasy,Adventure,5.8,134,PG,Paramount Pictures,King Kong,1976
5.9,History,Drama,Action,6.7,132,PG,Universal Studios / Cinema International Corporation,Midway,1976
8.3,Sport,Drama,,8.1,119,PG,United Artists Pictures,Rocky,1976
6.5,Crime,Comedy,Action,6.9,114,PG,20th Century-Fox Film Corporation,Silver Streak,1976
6.3,Thriller,Crime,Action,6.8,96,R,Warner Bros. Pictures,The Enforcer,1976
7.1,Mystery,Horror,Drama,7.6,111,R,20th Century Fox Film Corporation,The Omen,1976
0,History,Documentary,,7,27,G,National Air and Space Museum,To Fly!,1976
0,Drama,,,6,88,PG,Columbia Pictures,"Aloha, Bobby and Rose",1975
8.5,Drama,Crime,,8.1,125,R,Warner Bros.,Dog Day Afternoon,1975
4.6,Musical,Drama,Comedy,6.4,136,PG,Columbia Pictures,Funny Lady,1975
6.2,Romance,Drama,,6.3,109,R,Columbia Pictures,Shampoo,1975
6.2,Western,Family,Comedy,6.2,100,G,Walt Disney Productions,The Apple Dumpling Gang,1975
0,Drama,Western,War,6.4,103,PG,Universal Pictures,The Other Side of the Mountain,1975
6.7,Mystery,Crime,Comedy,7.1,113,G,United Artists,The Return of the Pink Panther,1975
,,,,,,,,,
6.8,Thriller,Sci-Fi,Drama,6.7,106,PG-13,Touchstone,Signs,2002
