userID,franchiseID,rating
1,1,2
1,2,4.5
1,3,3
1,4,4
1,5,4.5
1,7,5
1,8,3
1,10,3
1,12,4
1,13,2.5
1,15,4
1,17,2
1,19,3
1,20,1
2,3,3
2,6,4
2,7,3.5
2,8,3
2,11,3.5
2,13,2
2,15,4
2,18,3
2,20,3
3,2,2.5
3,4,3
3,5,4.5
3,6,3
3,8,4
3,10,3
3,12,5
3,13,3
3,14,4
3,15,4.5
3,16,4
3,17,3
3,18,3
3,19,4
3,20,3.5
4,1,2.5
4,3,3
4,5,3
4,7,4
4,8,3
4,9,3.5
4,11,3.5
4,13,2
4,14,4
4,15,4
4,16,3
4,17,2
4,18,5
4,19,4
4,20,3
5,1,3
5,2,5
5,4,3
5,7,2
5,8,4
5,13,3
5,15,4
5,16,3
5,17,3
5,18,4
5,19,5
5,20,3
6,1,2
6,2,4
6,5,4
6,6,3
6,8,3
6,9,4
6,12,4
6,13,2
6,14,3.5
6,17,4
6,19,3
6,20,2.5
7,1,2
7,3,3
7,7,4.5
7,8,3
7,11,4
7,14,3
7,15,4
7,16,4.5
7,17,3.5
7,18,2.5
7,19,3
7,20,2
8,2,3
8,4,4
8,5,3.5
8,6,3
8,9,3.5
8,10,4
8,11,3
8,12,4
8,13,2
8,15,4
8,16,3
8,17,4
8,18,3.5
8,19,4
8,20,3
9,1,3.5
9,2,4.5
9,4,2.5
9,5,3
9,8,1
9,11,2.5
9,13,3
9,14,4
9,15,3
9,16,4
9,17,3
9,18,3
9,19,3.5
9,20,2
10,1,1
10,3,3.5
10,6,4
10,7,5
10,9,2
10,10,3
10,12,4
10,14,3
10,16,4
10,19,3
11,1,4
11,4,3
11,5,3
11,7,2
11,8,3
11,9,3
11,11,2
11,12,5
11,13,2
11,14,3
11,15,3.5
11,16,3
11,17,2
11,18,3
11,20,2
12,2,5
12,4,3
12,6,4
12,8,2
12,10,3.5
12,12,3.5
12,14,3
12,15,3
12,16,4
12,17,3
12,18,3
12,19,4
12,20,2
13,1,3
13,2,4.5
13,3,2.5
13,4,3
13,5,4
13,6,3
13,7,4
13,8,3
13,9,2.5
13,10,1.5
14,2,3.5
14,5,3
14,6,3.5
14,8,2.5
14,11,3
14,13,3.5
14,14,2
14,15,3
14,16,1
14,18,2
15,1,2
15,3,2.5
15,4,3
15,6,2.5
15,8,1.5
15,11,2
15,13,3
15,15,3.5
15,16,2.5
15,19,3